date,product,region,quantity,sales,profit
2024-05-01,智能台灯,华东,1,141.74,59.85
2024-05-01,蓝牙音箱,华西,10,3764.76,1137.89
2024-05-01,智能台灯,华北,10,1717.09,673.94
2024-05-02,蓝牙音箱,华西,8,3385.83,859.06
2024-05-02,蓝牙音箱,华南,4,1298.69,283.72
2024-05-03,空气净化器,华西,4,5762.68,1257.84
2024-05-04,无线耳机,华北,4,1810.51,646.73
2024-05-04,智能手表,华南,6,6883.52,1758.05
2024-05-04,智能手表,华北,7,8567.56,1956.51
2024-05-05,智能台灯,华北,6,1568.41,503.96
2024-05-05,蓝牙音箱,华北,1,300.48,113.43
2024-05-05,智能台灯,华西,8,1360.59,515.92
2024-05-05,智能手表,华西,10,12141.68,2586.72
2024-05-07,智能手表,华南,11,15790.49,3366.88
2024-05-07,智能手表,华北,7,6251.47,1412.73
2024-05-07,无线耳机,华北,6,3115.92,1130.41
2024-05-08,蓝牙音箱,华南,6,1637.5,470.92
2024-05-08,无线耳机,华东,5,2639.01,935.11
2024-05-08,无线耳机,华东,6,2624.03,855.58
2024-05-09,空气净化器,华北,9,7901.03,1465.69
2024-05-11,无线耳机,华东,10,5119.32,1769.49
2024-05-12,无线耳机,华东,9,4600.83,1583.29
2024-05-12,智能台灯,华东,10,1612.38,569.52
2024-05-13,无线耳机,华东,8,3398.78,985.75
2024-05-14,蓝牙音箱,华东,10,2444.65,717.92
2024-05-14,空气净化器,华西,9,15378.63,2970.14
2024-05-14,空气净化器,华北,10,17381.98,2916.79
2024-05-15,智能手表,华北,8,8081.0,1505.52
2024-05-15,空气净化器,华南,8,10833.74,2236.29
2024-05-15,无线耳机,华东,1,474.53,162.29
2024-05-15,智能手表,华西,10,16905.07,3475.66
2024-05-16,无线耳机,华南,11,5798.08,1720.88
2024-05-16,空气净化器,华东,5,6226.39,976.23
2024-05-18,无线耳机,华北,4,2024.99,678.96
2024-05-23,无线耳机,华西,2,722.11,207.85
2024-05-23,蓝牙音箱,华西,8,2890.85,1068.59
2024-05-24,智能手表,华北,3,4685.75,953.97
2024-05-24,智能手表,华北,4,6251.34,768.86
2024-05-25,智能手表,华东,7,9511.16,2080.98
2024-05-25,智能手表,华西,10,10739.83,2331.39
2024-05-28,智能手表,华东,9,8271.05,2187.43
2024-05-28,智能手表,华西,2,1795.11,415.61
2024-05-28,蓝牙音箱,华南,3,475.09,117.18
2024-05-30,智能手表,华北,4,5399.49,1126.03
2024-05-30,无线耳机,华北,10,4711.15,1569.27
2024-05-30,空气净化器,华东,1,1745.49,180.5
2024-05-30,无线耳机,华东,7,4223.67,1577.73
2024-06-01,蓝牙音箱,华东,2,716.66,176.84
2024-06-02,智能手表,华东,5,6773.4,1874.08
2024-06-03,智能手表,华南,1,1209.68,285.12
2024-06-03,智能手表,华北,3,3713.31,910.44
2024-06-03,智能手表,华东,2,2986.17,794.25
2024-06-04,智能手表,华西,1,1278.57,310.6
2024-06-05,智能手表,华西,7,8709.43,2150.49
2024-06-06,智能手表,华西,5,6578.24,1403.95
2024-06-07,智能手表,华西,1,1530.59,359.52
2024-06-07,无线耳机,华东,6,2773.02,822.2
2024-06-08,智能手表,华北,5,6520.96,1345.04
2024-06-08,无线耳机,华南,3,1653.93,659.24
2024-06-09,无线耳机,华南,7,4467.87,1285.28
2024-06-12,蓝牙音箱,华东,11,3705.22,1060.33
2024-06-12,智能手表,华南,10,11494.45,2580.95
2024-06-12,智能台灯,华东,9,1626.64,565.37
2024-06-13,蓝牙音箱,华东,9,3768.5,1132.72
2024-06-13,智能手表,华北,9,16228.02,3952.97
2024-06-18,空气净化器,华北,2,2519.63,385.42
2024-06-20,空气净化器,华北,3,3974.09,771.19
2024-06-22,智能手表,华东,7,8959.26,1583.15
2024-06-23,智能手表,华西,5,6731.82,1693.34
2024-06-23,智能台灯,华东,2,452.1,165.95
2024-06-24,智能台灯,华东,3,498.72,181.18
2024-06-25,智能手表,华西,10,10674.05,2629.67
2024-06-25,智能手表,华西,6,8116.86,1696.26
2024-06-27,无线耳机,华西,7,3524.09,1256.55
2024-06-27,无线耳机,华南,9,5544.68,1563.94
2024-06-28,蓝牙音箱,华南,1,382.88,128.83
2024-06-28,无线耳机,华北,11,6388.62,1903.58
2024-06-29,无线耳机,华东,7,3626.49,914.43
2024-06-29,智能台灯,华北,8,2255.62,782.38
2024-06-30,智能手表,华北,3,3362.85,680.38
2024-07-01,智能手表,华东,4,5860.51,1210.53
2024-07-01,智能台灯,华南,10,1527.48,564.05
2024-07-02,空气净化器,华北,6,7987.08,1868.29
2024-07-04,无线耳机,华东,10,4702.78,1468.83
2024-07-04,蓝牙音箱,华东,7,3186.64,804.1
2024-07-07,智能手表,华南,4,5530.81,967.55
2024-07-09,无线耳机,华东,8,3775.05,1137.32
2024-07-09,蓝牙音箱,华西,5,1878.62,384.15
2024-07-12,智能手表,华北,1,1328.35,253.71
2024-07-12,智能手表,华北,4,4812.43,1298.21
2024-07-13,无线耳机,华北,3,1185.79,340.4
2024-07-13,智能手表,华南,9,14956.18,3666.49
2024-07-13,无线耳机,华东,8,4383.53,1187.68
2024-07-13,智能手表,华南,1,1836.48,534.13
2024-07-13,无线耳机,华北,11,6791.05,2672.31
2024-07-14,智能手表,华东,6,8705.96,2121.13
2024-07-15,空气净化器,华西,9,13686.7,3690.62
2024-07-15,蓝牙音箱,华南,7,1978.19,582.05
2024-07-15,蓝牙音箱,华南,4,1352.82,420.38
2024-07-17,智能台灯,华西,1,157.93,64.83
2024-07-17,无线耳机,华西,2,1179.59,385.95
2024-07-18,智能手表,华南,5,8539.59,1348.44
2024-07-18,蓝牙音箱,华南,11,3690.15,1149.7
2024-07-18,蓝牙音箱,华南,5,2059.21,537.71
2024-07-18,智能台灯,华南,8,1387.49,477.43
2024-07-21,无线耳机,华北,6,2995.52,994.26
2024-07-22,智能手表,华南,8,9010.92,2186.51
2024-07-22,无线耳机,华东,2,650.53,212.08
2024-07-25,无线耳机,华西,3,1573.58,543.56
2024-07-25,蓝牙音箱,华西,6,2160.83,543.94
2024-07-26,蓝牙音箱,华东,10,4195.33,1167.53
2024-07-27,无线耳机,华南,3,1810.8,640.96
2024-07-27,空气净化器,华东,6,11341.55,2959.14
2024-07-27,蓝牙音箱,华东,6,1741.71,635.82
2024-07-27,智能手表,华南,2,2858.35,678.34
2024-07-27,智能手表,华东,7,11872.17,3010.79
2024-07-28,智能手表,华南,2,2820.51,844.07
2024-07-28,智能手表,华南,6,10526.84,2033.43
2024-07-28,智能手表,华北,1,1799.71,441.27
2024-07-29,智能手表,华东,3,3768.64,944.93
2024-07-29,无线耳机,华东,2,923.53,349.02
2024-07-29,智能手表,华北,7,7973.54,1391.5
2024-07-30,空气净化器,华西,4,4798.83,731.46
2024-07-30,智能手表,华南,8,9574.62,2114.61
2024-08-02,蓝牙音箱,华东,6,2571.11,758.76
2024-08-02,无线耳机,华南,10,3185.28,1162.36
2024-08-02,空气净化器,华北,4,5367.51,1130.94
2024-08-03,智能手表,华南,5,6448.97,1379.72
2024-08-03,无线耳机,华东,9,4001.69,1347.2
2024-08-06,空气净化器,华南,7,10453.77,-1045.38
2024-08-07,空气净化器,华北,10,14978.38,3891.39
2024-08-08,智能台灯,华西,9,1699.39,623.04
2024-08-09,智能手表,华东,7,8026.77,1642.89
2024-08-09,智能手表,华南,1,1127.26,268.27
2024-08-10,蓝牙音箱,华西,8,3289.58,947.2
2024-08-10,空气净化器,华东,4,7846.99,997.83
2024-08-11,蓝牙音箱,华西,3,793.59,221.71
2024-08-12,蓝牙音箱,华南,7,1240.06,342.22
2024-08-13,智能手表,华东,3,4717.97,935.31
2024-08-14,智能台灯,华东,8,1233.64,495.21
2024-08-14,智能手表,华南,6,8223.29,-822.33
2024-08-15,无线耳机,华东,5,1895.99,641.27
2024-08-15,无线耳机,华北,4,2605.35,818.3
2024-08-15,无线耳机,华东,8,6158.0,1997.09
2024-08-16,智能手表,华北,8,10907.48,2579.31
2024-08-16,智能手表,华东,1,1297.64,217.61
2024-08-16,蓝牙音箱,华西,9,2984.3,858.48
2024-08-16,无线耳机,华西,5,3011.51,1239.41
2024-08-17,蓝牙音箱,华西,4,1551.87,337.89
2024-08-17,智能手表,华南,6,9350.59,2035.58
2024-08-21,无线耳机,华东,6,2809.94,1025.43
2024-08-21,蓝牙音箱,华南,2,747.1,218.2
2024-08-21,智能手表,华东,8,9528.88,2358.58
2024-08-22,无线耳机,华东,7,2992.32,673.19
2024-08-22,智能手表,华东,1,1310.25,319.61
2024-08-22,智能手表,华北,5,5504.05,1043.2
2024-08-24,空气净化器,华南,6,11991.58,2427.04
2024-08-25,无线耳机,华南,4,1784.33,568.88
2024-08-28,智能台灯,华北,2,421.91,190.34
2024-08-29,智能手表,华东,4,4706.51,1138.35
2024-08-29,蓝牙音箱,华西,1,369.55,101.81
2024-08-31,智能台灯,华北,7,1255.27,376.09
2024-08-31,蓝牙音箱,华北,2,544.69,155.15
2024-09-02,无线耳机,华东,2,1043.6,368.32
2024-09-03,无线耳机,华南,9,4136.94,1310.49
2024-09-04,无线耳机,华南,5,2523.55,756.49
2024-09-04,空气净化器,华东,2,2768.42,462.59
2024-09-04,智能台灯,华东,11,1506.72,574.67
2024-09-05,空气净化器,华南,9,16132.12,3555.12
2024-09-06,智能手表,华南,9,12232.26,3357.12
2024-09-08,智能台灯,华东,1,161.63,51.75
2024-09-09,空气净化器,华西,11,16707.24,3525.88
2024-09-09,智能手表,华东,3,4275.23,919.74
2024-09-12,智能手表,华北,4,4405.12,952.87
2024-09-14,智能台灯,华西,7,1191.53,448.1
2024-09-15,蓝牙音箱,华北,10,3340.33,989.76
2024-09-15,智能台灯,华南,4,660.5,251.75
2024-09-16,智能手表,华北,2,2770.26,492.28
2024-09-18,智能台灯,华东,7,1221.69,403.17
2024-09-19,智能手表,华西,6,6183.89,1727.99
2024-09-20,智能手表,华北,3,3994.4,843.53
2024-09-21,智能手表,华西,6,5719.8,1328.37
2024-09-22,智能台灯,华东,11,2698.1,1085.14
2024-09-22,蓝牙音箱,华东,6,2466.91,736.47
2024-09-27,蓝牙音箱,华东,5,1747.89,527.62
2024-09-28,无线耳机,华南,4,2068.38,735.89
2024-09-28,空气净化器,华北,10,16032.59,1688.77
2024-09-28,无线耳机,华西,1,437.74,131.5
2024-09-28,智能台灯,华北,10,1896.33,718.22
2024-09-28,无线耳机,华西,6,2401.45,901.76
2024-09-29,无线耳机,华东,2,1047.06,337.83
2024-09-29,无线耳机,华西,3,1664.95,476.53
2024-09-30,无线耳机,华南,8,3578.67,1028.07
2024-10-01,智能台灯,华南,10,1607.19,635.41
2024-10-01,无线耳机,华南,6,2251.45,700.85
2024-10-01,智能手表,华南,3,4544.75,998.54
2024-10-02,空气净化器,华北,7,9525.39,2044.16
2024-10-03,无线耳机,华东,4,1851.32,377.56
2024-10-04,蓝牙音箱,华东,9,3035.6,1092.86
2024-10-04,空气净化器,华西,5,7880.98,1266.92
2024-10-05,蓝牙音箱,华北,3,1089.01,315.46
2024-10-05,智能手表,华南,2,2236.13,339.47
2024-10-06,空气净化器,华北,11,13118.16,2270.73
2024-10-07,蓝牙音箱,华东,2,488.67,161.16
2024-10-07,无线耳机,华东,3,1289.86,313.89
2024-10-08,智能手表,华南,2,1988.8,527.13
2024-10-09,智能台灯,华北,4,680.65,237.58
2024-10-09,蓝牙音箱,华东,2,790.63,236.78
2024-10-09,蓝牙音箱,华北,10,2982.69,913.6
2024-10-10,空气净化器,华东,9,12582.31,2612.8
2024-10-11,智能台灯,华北,2,358.94,116.8
2024-10-12,智能手表,华东,9,10011.47,2056.54
2024-10-12,无线耳机,华南,6,2845.06,744.09
2024-10-14,智能手表,华东,1,1316.83,315.61
2024-10-15,智能台灯,华北,4,834.66,357.3
2024-10-16,智能手表,华东,1,1416.69,208.29
2024-10-17,蓝牙音箱,华东,6,2630.85,656.49
2024-10-17,智能台灯,华北,4,793.79,279.99
2024-10-18,空气净化器,华北,3,6309.93,1242.64
2024-10-18,无线耳机,华北,3,1238.74,439.96
2024-10-19,智能台灯,华东,9,2229.82,789.16
2024-10-19,智能手表,华南,6,6707.03,1390.78
2024-10-19,智能台灯,华西,9,1537.76,621.45
2024-10-21,智能手表,华南,5,5870.54,1446.97
2024-10-21,无线耳机,华东,2,922.22,314.99
2024-10-22,智能台灯,华北,8,1462.25,532.99
2024-10-22,智能手表,华东,5,5373.57,1393.51
2024-10-23,智能手表,华东,2,2758.54,534.46
2024-10-24,智能台灯,华西,4,648.35,212.85
2024-10-26,智能台灯,华东,9,1811.18,706.08
2024-10-27,蓝牙音箱,华北,4,1631.99,350.88
2024-10-28,蓝牙音箱,华北,4,1197.72,339.78
2024-10-28,蓝牙音箱,华南,2,731.51,195.56
2024-10-29,智能手表,华北,6,7924.67,1297.82
2024-10-29,无线耳机,华东,11,7421.14,2098.32
2024-10-30,智能手表,华东,2,2181.91,470.51
2024-10-31,空气净化器,华北,7,12002.69,2776.92
2024-10-31,蓝牙音箱,华东,3,679.03,172.39
2024-10-31,无线耳机,华北,3,1311.47,483.32
2024-11-02,无线耳机,华东,5,3446.1,1111.46
2024-11-02,空气净化器,华东,3,7598.42,1841.97
2024-11-03,智能手表,华北,2,2525.04,494.45
2024-11-05,蓝牙音箱,华东,10,4931.26,1371.13
2024-11-05,无线耳机,华北,9,5765.63,1929.98
2024-11-06,蓝牙音箱,华南,2,627.37,171.16
2024-11-08,智能手表,华南,11,18402.46,4750.06
2024-11-09,空气净化器,华东,2,5295.98,538.59
2024-11-09,空气净化器,华东,8,12932.85,3710.39
2024-11-10,蓝牙音箱,华东,9,3811.06,1197.86
2024-11-10,蓝牙音箱,华南,7,2486.95,679.08
2024-11-12,空气净化器,华南,3,5562.6,934.0
2024-11-12,智能台灯,华东,9,2750.79,894.95
2024-11-13,智能手表,华西,3,4622.47,1136.32
2024-11-14,蓝牙音箱,华东,5,2704.93,865.03
2024-11-15,蓝牙音箱,华北,9,4664.16,1275.64
2024-11-15,无线耳机,华南,3,1817.07,661.92
2024-11-16,智能台灯,华西,7,1547.11,500.81
2024-11-16,空气净化器,华南,1,1698.41,249.07
2024-11-17,空气净化器,华南,4,6742.78,1770.21
2024-11-17,无线耳机,华东,4,2756.79,947.36
2024-11-18,智能手表,华南,7,11299.61,3117.27
2024-11-18,空气净化器,华东,8,14381.57,2241.26
2024-11-18,智能台灯,华西,1,175.26,56.62
2024-11-19,智能手表,华北,5,8254.81,1697.65
2024-11-19,空气净化器,华南,7,12976.94,2037.87
2024-11-19,空气净化器,华北,4,7815.26,1705.4
2024-11-19,无线耳机,华南,4,2734.14,792.78
2024-11-20,蓝牙音箱,华北,4,949.84,221.44
2024-11-20,无线耳机,华南,6,2814.95,916.77
2024-11-20,智能手表,华东,7,16027.5,2699.04
2024-11-22,无线耳机,华东,2,1177.82,292.12
2024-11-22,智能台灯,华东,5,664.44,242.74
2024-11-23,智能手表,华东,4,4788.79,718.47
2024-11-23,无线耳机,华西,3,2813.36,987.52
2024-11-24,无线耳机,华东,7,3962.02,1046.71
2024-11-25,蓝牙音箱,华西,11,5743.38,1093.38
2024-11-25,空气净化器,华东,6,12414.89,2212.93
2024-11-25,无线耳机,华东,7,4140.03,1348.75
2024-11-26,无线耳机,华南,5,3692.24,1254.1
2024-11-27,智能台灯,华南,6,832.25,305.34
2024-11-28,无线耳机,华北,5,2399.53,666.18
2024-11-28,智能手表,华北,7,10335.01,2568.48
2024-11-28,无线耳机,华南,2,982.73,352.22
2024-11-29,智能手表,华东,11,15957.1,2740.94
2024-11-29,智能手表,华西,5,9344.71,1988.18
2024-12-02,无线耳机,华西,6,3980.47,1230.05
2024-12-02,无线耳机,华南,6,4819.22,1584.63
2024-12-04,空气净化器,华东,5,10481.07,1905.49
2024-12-06,无线耳机,华南,10,7637.61,2423.3
2024-12-07,蓝牙音箱,华东,7,2989.13,913.7
2024-12-09,蓝牙音箱,华东,10,3861.0,909.06
2024-12-10,智能手表,华东,8,16413.87,4095.18
2024-12-11,蓝牙音箱,华北,7,2637.89,859.02
2024-12-11,智能手表,华西,5,8601.33,2454.52
2024-12-11,空气净化器,华南,1,2305.26,240.36
2024-12-11,智能手表,华南,5,9326.9,1983.68
2024-12-12,无线耳机,华北,10,5120.63,1236.1
2024-12-13,智能手表,华东,2,3853.5,472.43
2024-12-14,空气净化器,华北,5,8340.85,1632.84
2024-12-14,无线耳机,华西,5,3712.8,1128.82
2024-12-14,蓝牙音箱,华东,2,947.23,276.59
2024-12-14,智能手表,华西,5,9293.56,2225.3
2024-12-15,智能台灯,华北,4,761.17,312.02
2024-12-15,智能手表,华北,1,1791.44,397.98
2024-12-16,空气净化器,华南,3,7262.1,2228.99
2024-12-18,智能手表,华北,1,1676.39,389.35
2024-12-18,智能手表,华西,11,15194.21,4462.53
2024-12-19,智能手表,华西,5,9440.99,1196.05
2024-12-22,无线耳机,华北,4,2645.15,989.26
2024-12-23,蓝牙音箱,华东,7,2112.57,576.24
2024-12-23,智能手表,华北,5,6793.36,965.11
2024-12-24,智能台灯,华西,10,2199.8,828.93
2024-12-24,无线耳机,华东,4,3294.55,1014.33
2024-12-24,蓝牙音箱,华北,2,1070.87,324.69
2024-12-25,无线耳机,华南,4,3211.11,1157.42
2024-12-26,无线耳机,华南,2,1350.21,351.64
2024-12-27,蓝牙音箱,华东,8,4024.33,1290.19
2024-12-28,智能手表,华南,3,3862.05,850.65
2024-12-29,智能手表,华西,9,14597.85,4001.47
2024-12-29,空气净化器,华东,4,8758.48,1592.24
2024-12-30,空气净化器,华东,6,9799.2,1677.46
2024-12-30,无线耳机,华西,10,6724.84,2159.23
2024-12-31,智能手表,华东,5,10559.12,2366.03
2024-12-31,蓝牙音箱,华西,10,4754.5,1205.21
2025-01-01,无线耳机,华北,1,559.28,167.87
2025-01-01,智能手表,华东,9,6032.52,1031.11
2025-01-02,智能手表,华西,1,1536.52,311.32
2025-01-03,智能台灯,华北,8,1391.76,538.68
2025-01-03,蓝牙音箱,华北,9,2481.51,681.19
2025-01-03,智能手表,华北,9,10460.5,2723.52
2025-01-07,智能手表,华北,1,879.24,186.91
2025-01-07,智能手表,华东,2,2852.71,-285.27
2025-01-07,蓝牙音箱,华北,1,300.68,91.37
2025-01-08,智能手表,华西,10,10404.56,2008.65
2025-01-09,智能手表,华东,2,2327.4,490.3
2025-01-09,智能台灯,华南,10,2162.24,885.44
2025-01-09,智能手表,华东,8,9827.16,1705.65
2025-01-11,蓝牙音箱,华南,5,1194.01,342.19
2025-01-13,智能手表,华东,66,87120.0,19025.2
2025-01-14,智能手表,华西,7,6995.38,1735.11
2025-01-15,智能手表,华北,2,1468.56,373.32
2025-01-16,智能台灯,华东,8,1827.77,677.29
2025-01-17,智能台灯,华东,11,2142.96,740.57
2025-01-17,智能台灯,华东,6,1064.78,403.48
2025-01-18,无线耳机,华北,8,3601.11,1344.75
2025-01-19,蓝牙音箱,华东,1,400.47,111.69
2025-01-20,智能手表,华南,1,1866.83,390.75
2025-01-20,无线耳机,华北,7,3631.42,1218.44
2025-01-21,空气净化器,华东,8,9775.99,1872.58
2025-01-21,智能手表,华北,3,3499.91,582.71
2025-01-22,智能手表,华南,5,6465.02,1484.2
2025-01-22,智能手表,华东,1,692.5,115.04
2025-01-22,智能手表,华东,7,8905.76,2092.67
2025-01-23,智能手表,华东,5,6471.34,1217.35
2025-01-24,蓝牙音箱,华南,8,3171.18,892.61
2025-01-24,无线耳机,华南,8,4684.73,1572.31
2025-01-25,空气净化器,华北,9,13770.15,3967.95
2025-01-25,智能台灯,华南,7,1603.52,624.91
2025-01-25,无线耳机,华南,11,7214.71,2702.57
2025-01-26,智能手表,华北,1,1206.04,355.62
2025-01-27,无线耳机,华西,3,1548.39,525.79
2025-01-28,蓝牙音箱,华东,8,1745.63,508.72
2025-01-28,智能手表,华东,3,2659.77,471.66
2025-01-29,蓝牙音箱,华东,8,2173.76,598.51
2025-01-30,无线耳机,华东,1,441.67,128.56
2025-01-30,蓝牙音箱,华北,5,1284.32,339.01
2025-02-03,无线耳机,华西,4,1907.56,753.16
2025-02-04,无线耳机,华东,5,2221.28,720.99
2025-02-05,空气净化器,华东,8,14313.13,2218.02
2025-02-06,智能台灯,华北,10,1646.17,683.13
2025-02-07,智能手表,华西,4,2824.28,729.26
2025-02-07,空气净化器,华东,11,16873.48,3886.07
2025-02-08,无线耳机,华北,4,1915.09,459.15
2025-02-09,空气净化器,华东,3,3801.74,1018.66
2025-02-10,智能台灯,华东,7,1281.55,432.73
2025-02-11,无线耳机,华西,3,1161.29,407.75
2025-02-11,智能手表,华西,3,3813.74,1224.03
2025-02-12,智能手表,华东,11,19455.83,5957.63
2025-02-13,蓝牙音箱,华西,10,2159.97,520.33
2025-02-15,蓝牙音箱,华南,5,1451.32,322.51
2025-02-15,智能手表,华西,5,5269.37,1460.74
2025-02-15,智能手表,华北,6,6638.5,1498.19
2025-02-19,智能台灯,华北,8,1704.36,579.42
2025-02-19,空气净化器,华北,10,16465.63,3537.62
2025-02-19,蓝牙音箱,华南,6,2213.33,605.31
2025-02-20,智能手表,华东,1,1206.59,299.3
2025-02-20,智能手表,华东,8,7315.41,1628.99
2025-02-21,智能手表,华东,8,7673.82,1909.98
2025-02-21,空气净化器,华南,9,15313.41,2361.61
2025-02-21,智能手表,华东,9,11132.1,3083.35
2025-02-22,蓝牙音箱,华南,2,785.18,241.76
2025-02-23,智能手表,华西,2,2526.69,621.19
2025-02-23,蓝牙音箱,华东,3,755.58,177.78
2025-02-23,蓝牙音箱,华南,1,289.94,100.89
2025-02-23,智能台灯,华北,4,793.2,285.12
2025-02-24,智能手表,华西,4,5413.73,1348.68
2025-02-24,智能手表,华东,9,12462.33,2580.79
2025-02-25,智能手表,华南,9,8761.67,2019.0
2025-02-25,空气净化器,华南,9,10581.5,2136.25
2025-02-26,空气净化器,华西,10,14487.53,1118.48
2025-02-26,蓝牙音箱,华南,7,2820.64,855.49
2025-02-26,蓝牙音箱,华北,2,560.07,200.85
2025-02-27,蓝牙音箱,华北,10,3462.06,1044.13
2025-02-27,智能手表,华西,5,6491.47,1179.45
2025-02-27,空气净化器,华北,4,6821.63,1473.46
2025-02-28,无线耳机,华东,11,6861.88,2486.6
2025-03-01,无线耳机,华西,8,4919.59,1675.11
2025-03-03,无线耳机,华南,2,857.25,271.78
2025-03-04,智能手表,华南,6,4481.13,942.44
2025-03-06,智能手表,华东,5,5267.19,1106.89
2025-03-06,智能台灯,华南,2,364.9,141.55
2025-03-07,智能手表,华北,11,12340.73,2020.36
2025-03-09,蓝牙音箱,华南,10,4333.51,1148.92
2025-03-09,智能手表,华东,1,1204.06,341.74
2025-03-10,无线耳机,华南,8,4291.85,1653.94
2025-03-11,无线耳机,华西,2,997.53,260.23
2025-03-11,无线耳机,华东,7,3150.36,865.54
2025-03-11,智能台灯,华西,9,1058.72,369.68
2025-03-12,无线耳机,华北,9,4258.87,1514.9
2025-03-13,蓝牙音箱,华西,8,4059.74,839.96
2025-03-14,无线耳机,华南,11,4097.27,1302.14
2025-03-15,蓝牙音箱,华北,10,2154.63,562.43
2025-03-15,空气净化器,华南,9,18205.43,4424.62
2025-03-15,智能台灯,华西,2,408.09,119.54
2025-03-15,智能手表,华北,6,7442.9,1664.99
2025-03-16,智能手表,华东,4,5977.35,1220.91
2025-03-16,智能手表,华南,4,4081.58,1137.91
2025-03-19,蓝牙音箱,华南,5,1569.3,476.92
2025-03-19,智能手表,华南,3,4218.94,829.31
2025-03-19,无线耳机,华南,1,662.33,234.55
2025-03-20,蓝牙音箱,华北,8,2021.53,534.59
2025-03-20,无线耳机,华南,5,2953.28,1063.1
2025-03-20,智能台灯,华东,3,577.11,202.29
2025-03-21,智能手表,华北,10,12352.21,3238.58
2025-03-21,智能手表,华东,7,8388.31,1991.75
2025-03-22,智能台灯,华东,7,945.96,463.92
2025-03-22,无线耳机,华北,1,563.21,179.04
2025-03-22,蓝牙音箱,华北,9,2474.47,730.75
2025-03-22,无线耳机,华南,2,773.43,232.67
2025-03-23,智能手表,华北,5,6956.3,1531.13
2025-03-24,智能台灯,华北,5,1027.84,258.94
2025-03-24,智能台灯,华东,8,1460.48,552.97
2025-03-25,蓝牙音箱,华北,8,3057.45,1020.32
2025-03-27,智能手表,华东,7,10556.02,2489.8
2025-03-28,蓝牙音箱,华东,7,2767.48,629.45
2025-03-28,无线耳机,华北,11,4777.92,1375.7
2025-03-28,智能手表,华南,6,8514.28,1045.49
2025-03-28,空气净化器,华北,6,9342.86,2140.98
2025-03-29,智能手表,华北,11,17300.76,3109.63
2025-03-29,空气净化器,华北,9,13199.34,2492.72
2025-03-30,无线耳机,华西,6,2695.21,845.89
